=== 分散処理版NSGA-II パレートフロント詳細 ===
生成日時: 2025-08-12 19:59:14
総世代数: 300
最終世代のパレートフロントサイズ: 96
最終世代の全解数: 96
実数値空間軸範囲: X[-171361.5000, -22111.5000], Y[-98.5375, 7.2875]

=== 最終世代の非支配解 ===
解1: コスト=-90900.0000, 平均待ち時間=-30.7188
解2: コスト=-90900.0000, 平均待ち時間=-30.7188
解3: コスト=-90900.0000, 平均待ち時間=-30.7188
解4: コスト=-136060.0000, 平均待ち時間=-1.5312
解5: コスト=-136060.0000, 平均待ち時間=-1.5312
解6: コスト=-136060.0000, 平均待ち時間=-1.5312
解7: コスト=-155828.0000, 平均待ち時間=-5.1250
解8: コスト=-155828.0000, 平均待ち時間=-5.1250
解9: コスト=-155828.0000, 平均待ち時間=-5.1250
解10: コスト=-158532.0000, 平均待ち時間=-5.9688
解11: コスト=-158532.0000, 平均待ち時間=-5.9688
解12: コスト=-158532.0000, 平均待ち時間=-5.9688
解13: コスト=-82921.0000, 平均待ち時間=-36.1875
解14: コスト=-82921.0000, 平均待ち時間=-36.1875
解15: コスト=-82921.0000, 平均待ち時間=-36.1875
解16: コスト=-112938.0000, 平均待ち時間=-11.3750
解17: コスト=-112938.0000, 平均待ち時間=-11.3750
解18: コスト=-112938.0000, 平均待ち時間=-11.3750
解19: コスト=-100039.0000, 平均待ち時間=-7.4375
解20: コスト=-100039.0000, 平均待ち時間=-7.4375
解21: コスト=-100039.0000, 平均待ち時間=-7.4375
解22: コスト=-34549.0000, 平均待ち時間=-86.3438
解23: コスト=-34549.0000, 平均待ち時間=-86.3438
解24: コスト=-34549.0000, 平均待ち時間=-86.3438
解25: コスト=-50639.0000, 平均待ち時間=-65.3125
解26: コスト=-50639.0000, 平均待ち時間=-65.3125
解27: コスト=-50639.0000, 平均待ち時間=-65.3125
解28: コスト=-43265.0000, 平均待ち時間=-52.5625
解29: コスト=-43265.0000, 平均待ち時間=-52.5625
解30: コスト=-43265.0000, 平均待ち時間=-52.5625
解31: コスト=-158336.0000, 平均待ち時間=-5.9688
解32: コスト=-158336.0000, 平均待ち時間=-5.9688
解33: コスト=-158336.0000, 平均待ち時間=-5.9688
解34: コスト=-75494.0000, 平均待ち時間=-55.7812
解35: コスト=-75494.0000, 平均待ち時間=-55.7812
解36: コスト=-75494.0000, 平均待ち時間=-55.7812
解37: コスト=-43322.0000, 平均待ち時間=-57.9375
解38: コスト=-43322.0000, 平均待ち時間=-57.9375
解39: コスト=-43322.0000, 平均待ち時間=-57.9375
解40: コスト=-77434.0000, 平均待ち時間=-26.7500
解41: コスト=-77434.0000, 平均待ち時間=-26.7500
解42: コスト=-77434.0000, 平均待ち時間=-26.7500
解43: コスト=-152478.0000, 平均待ち時間=-4.1250
解44: コスト=-152478.0000, 平均待ち時間=-4.1250
解45: コスト=-152478.0000, 平均待ち時間=-4.1250
解46: コスト=-92394.0000, 平均待ち時間=-21.7812
